carriage,nst07,unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
HIRE,GT03,THS_T,NL	70389 	63917 	64375 	60110 	67937 	66831 	64288 	78702 	90550 
HIRE,GT03,THS_T,NO	73097 	69009 	68948 	70192 	67903 	50881 	57337 	60066 	67383 
HIRE,GT03,THS_T,PL	223079 	211691 	224006 	225412 	231202 	312068 	256523 	261817 	275867 
HIRE,GT03,THS_T,PT	11555 	15088 	14743 	13821 	14260 	33112 	32078 	47300 	46852 
HIRE,GT03,THS_T,RO	16467 	23858 	17579 	16851 	18843 	20867 	17901 	23054 	45525 
HIRE,GT03,THS_T,SE	109088 	109174 	111170 	68959 	73512 	84034 	80744 	97796 	90891 
HIRE,GT03,THS_T,SI	13112 	10873 	11441 	10240 	9284 	12485 	17151 	16743 	25237 
HIRE,GT03,THS_T,SK	32031 	32195 	30806 	28563 	28933 	34177 	40513 	46194 	61348 
HIRE,GT03,THS_T,UK	181277 	176738 	152742 	133693 	142759 	134462 	165212 	143708 	216263 
HIRE,GT04,MIO_TKM,AT	2105 	1911 	1985 	1890 	2137 	2164 	2219 	2371 	3026 
HIRE,GT04,MIO_TKM,BE	4743 	4840 	5753 	6116 	5558 	5241 	6081 	5924 	5952 
HIRE,GT04,MIO_TKM,BG	4387 	3305 	2175 	2033 	2235 	1524 	1236 	1240 	906 
HIRE,GT04,MIO_TKM,CH	1414 	1491 	1366 	1650 	1550 	1851 	1638 	1901 	1657 
HIRE,GT04,MIO_TKM,CY	78 	83 	61 	60 	91 	70 	75 	67 	67 
HIRE,GT04,MIO_TKM,CZ	5473 	6225 	6561 	6491 	6132 	6675 	6293 	6218 	5493 
HIRE,GT04,MIO_TKM,DE	43555 	42472 	40658 	41688 	40715 	43320 	43558 	43256 	44288 
HIRE,GT04,MIO_TKM,DK	2469 	2386 	2829 	2644 	2584 	2375 	2471 	2787 	2826 
HIRE,GT04,MIO_TKM,EE	607 	660 	546 	642 	524 	685 	643 	509 	619 
HIRE,GT04,MIO_TKM,EL	3765 	3605 	3296 	3273 	3451 	3002 	4178 	3425 	3081 
HIRE,GT04,MIO_TKM,ES	45896 	43656 	40496 	39453 	41607 	39602 	39804 	40188 	38107 
HIRE,GT04,MIO_TKM,EU15	199064 	187369 	183163 	185614 	188065 	180696 	194357 	: 	: 
HIRE,GT04,MIO_TKM,EU25	261152 	247898 	238940 	240840 	235971 	228347 	239948 	: 	: 
HIRE,GT04,MIO_TKM,EU27	271904 	256898 	244929 	246745 	241296 	232359 	243533 	: 	: 
HIRE,GT04,MIO_TKM,EU28	273815 	258822 	246428 	248328 	242772 	233614 	244779 	: 	: 
HIRE,GT04,MIO_TKM,FI	2906 	2782 	2895 	3183 	3137 	3408 	3950 	3933 	3661 
HIRE,GT04,MIO_TKM,FR	16869 	16985 	17759 	18233 	19962 	20455 	20736 	20955 	25918 
HIRE,GT04,MIO_TKM,HR	1912 	1924 	1499 	1583 	1476 	1256 	1246 	1291 	1227 
HIRE,GT04,MIO_TKM,HU	4999 	5641 	5386 	5967 	4946 	5284 	4883 	5278 	4859 
HIRE,GT04,MIO_TKM,IE	2374 	2282 	2157 	2025 	2247 	2178 	2252 	2357 	3032 
HIRE,GT04,MIO_TKM,IT	18823 	19027 	19803 	20384 	19078 	17049 	24880 	22088 	24800 
HIRE,GT04,MIO_TKM,LT	6314 	5278 	4876 	4886 	4199 	3387 	3136 	2861 	2947 
HIRE,GT04,MIO_TKM,LU	514 	615 	811 	723 	581 	848 	933 	1064 	975 
HIRE,GT04,MIO_TKM,LV	1913 	2129 	1863 	1756 	1538 	1769 	1234 	984 	1215 
HIRE,GT04,MIO_TKM,NL	11531 	11600 	12112 	11449 	11217 	11157 	11757 	10596 	10039 
HIRE,GT04,MIO_TKM,NO	2793 	3236 	3307 	2821 	2856 	2559 	2994 	2279 	2655 
HIRE,GT04,MIO_TKM,PL	37716 	35900 	32229 	31519 	26393 	25573 	25693 	23112 	18959 
HIRE,GT04,MIO_TKM,PT	6463 	4300 	4919 	5550 	3826 	4613 	4598 	4678 	4456 
HIRE,GT04,MIO_TKM,RO	6365 	5695 	3813 	3872 	3090 	2488 	2350 	2465 	5431 
HIRE,GT04,MIO_TKM,SE	5327 	4539 	5704 	3989 	4332 	4677 	4404 	4099 	4884 
HIRE,GT04,MIO_TKM,SI	1527 	1376 	1308 	1387 	1252 	1386 	1198 	1096 	1115 
HIRE,GT04,MIO_TKM,SK	3461 	3237 	2946 	2519 	2830 	2822 	2435 	2378 	2264 
HIRE,GT04,MIO_TKM,UK	31558 	26367 	21987 	25014 	27635 	20605 	22537 	20543 	21430 
HIRE,GT04,THS_T,AT	16313 	14050 	14635 	14018 	13627 	13459 	12329 	12235 	12915 
HIRE,GT04,THS_T,BE	29182 	29014 	31972 	34336 	32988 	28893 	32118 	30421 	30009 
HIRE,GT04,THS_T,BG	9801 	7303 	5996 	5517 	5172 	3936 	2833 	3842 	5101 
HIRE,GT04,THS_T,CH	15980 	18198 	14276 	16572 	15035 	17962 	15920 	17034 	15502 
HIRE,GT04,THS_T,CY	1018 	1144 	853 	761 	1126 	894 	984 	1016 	932 
HIRE,GT04,THS_T,CZ	28413 	27070 	29242 	22973 	22293 	23950 	22109 	20635 	22293 
HIRE,GT04,THS_T,DE	238569 	230575 	216314 	216184 	208765 	207540 	202012 	205111 	202647 
HIRE,GT04,THS_T,DK	23221 	19361 	20939 	18454 	18642 	17881 	19792 	16505 	20010 
HIRE,GT04,THS_T,EE	2748 	2776 	2293 	2446 	1953 	3038 	2293 	2221 	3458 
HIRE,GT04,THS_T,EL	14183 	10988 	11933 	10349 	11942 	11503 	16780 	12525 	10967 
HIRE,GT04,THS_T,ES	198863 	191367 	172043 	165641 	165957 	156321 	160405 	151106 	158681 
HIRE,GT04,THS_T,EU15	1096753 	1035422 	988557 	977580 	1010572 	945825 	978930 	: 	: 
HIRE,GT04,THS_T,EU25	1282898 	1217863 	1149217 	1140825 	1148960 	1090173 	1117127 	: 	: 
HIRE,GT04,THS_T,EU27	1306437 	1236294 	1164862 	1155556 	1161154 	1101205 	1126748 	: 	: 
HIRE,GT04,THS_T,EU28	1312326 	1242845 	1169707 	1160818 	1166367 	1105744 	1131396 	: 	: 
HIRE,GT04,THS_T,FI	14682 	15462 	15478 	15251 	16458 	16831 	18380 	20510 	20640 
HIRE,GT04,THS_T,FR	100673 	99453 	101231 	105488 	115675 	117252 	112889 	111577 	139585 
HIRE,GT04,THS_T,HR	5889 	6551 	4846 	5262 	5213 	4539 	4648 	5251 	5075 
HIRE,GT04,THS_T,HU	18230 	19164 	17447 	20346 	18005 	20809 	18597 	20540 	19304 
HIRE,GT04,THS_T,IE	17525 	16990 	16131 	14709 	15863 	14931 	15662 	16774 	22887 
HIRE,GT04,THS_T,IT	102348 	96997 	99799 	97952 	97242 	87854 	112295 	98301 	97682 
HIRE,GT04,THS_T,LT	7952 	6699 	5712 	5601 	4870 	4308 	3769 	4402 	3762 
HIRE,GT04,THS_T,LU	1732 	2137 	2349 	2257 	1808 	3002 	3148 	3472 	3439 
HIRE,GT04,THS_T,LV	6877 	6477 	4708 	5065 	3756 	5587 	4270 	3702 	4507 
HIRE,GT04,THS_T,NL	100834 	99910 	92088 	86638 	92935 	91180 	92064 	71728 	65789 
HIRE,GT04,THS_T,NO	12465 	14335 	13826 	11890 	13652 	12523 	15018 	12562 	13679 
HIRE,GT04,THS_T,PL	105355 	103860 	87674 	93805 	73658 	72515 	73388 	63160 	57164 
HIRE,GT04,THS_T,PT	15517 	14237 	14950 	16184 	16900 	17320 	18334 	17987 	18172 
HIRE,GT04,THS_T,RO	13738 	11128 	9648 	9213 	7021 	7095 	6788 	7536 	12594 
HIRE,GT04,THS_T,SE	27871 	20440 	23353 	15758 	16167 	20091 	19650 	19876 	23455 
HIRE,GT04,THS_T,SI	4419 	3867 	3693 	3676 	3527 	3745 	3454 	3077 	3487 
HIRE,GT04,THS_T,SK	11133 	11385 	9038 	8573 	9201 	9503 	9334 	8712 	8412 
HIRE,GT04,THS_T,UK	195676 	174442 	155341 	164360 	185604 	141767 	143072 	127727 	139412 
HIRE,GT05,MIO_TKM,AT	108 	121 	80 	69 	79 	98 	83 	255 	284 
